,Player,Team,Thorws,Pos.,IP,TBF,FIP-,xFIP-,tRA-,xtRA-,K-BB%,K%,BB%,FIP,xFIP,tRA,xtRA,HR/FB,DER,GB%,LD%,OFFB%,IFFB%,RSAA,投球WAR,背 番 号,年 俸,防 御 率,試 合 数,勝 利,敗 戦,投 球 回 数,勝 率,完 投,完 封,セ ｜ ブ,ホ ｜ ル ド,奪 三 振,奪 三 振 率,失 点,自 責 点,被 安 打,被 本 塁 打,与 四 球,与 死 球,与 四 球 率,Jp_Player
10,Riku Miyaguni,オ,右,RP,1.7,14,293,306,280,296,-28.6,7.1,35.7,11.26,11.79,10.79,11.38,0.0,0.5,46.6,11.6,41.8,0.0,-1.3,-0.1,43,240.0,27.00,2,0,0,1 2/3,.000,0,0,0,0,1,5.40,6,5,4,0,5,0,27.00,宮國凌空
11,Hiryoa Miyagi,オ,左,SP,5.0,16,17,17,0,1,43.8,43.8,0.0,0.66,0.66,0.02,0.04,0.0,0.778,93.6,3.0,3.4,0.0,2.1,0.3,13,16000.0,0.00,1,1,0,5,1.000,0,0,0,0,7,12.60,0,0,2,0,0,0,0.00,宮城大弥
12,Ryoga Tomiyama,オ,左,SP,2.0,7,-14,-3,14,25,57.1,57.1,0.0,-0.54,-0.1,0.53,0.97,0.0,0.667,14.0,9.0,77.0,0.0,0.7,0.1,28,1600.0,1.64,6,2,1,11,.667,0,0,0,0,8,6.55,2,2,10,1,2,0,1.64,富山凌雅
13,Ryoga Tomiyama,オ,左,RP,9.0,36,122,93,130,104,5.6,11.1,5.6,4.69,3.58,5.01,4.0,10.9,0.679,53.4,10.3,29.2,7.1,-1.2,-0.1,28,1600.0,1.64,6,2,1,11,.667,0,0,0,0,8,6.55,2,2,10,1,2,0,1.64,富山凌雅
14,Hiroto Suga,オ,左,RP,0.3,6,402,436,234,250,-16.7,16.7,33.3,15.46,16.77,8.98,9.63,0.0,0.0,28.0,18.0,54.0,0.0,-0.2,0.0,41,240.0,81.00,1,0,0,0 1/3,.000,0,0,0,0,1,27.00,3,3,3,0,2,0,54.00,寿賀弘都
15,Atsuya Kogita,オ,右,RP,2.0,8,38,55,78,99,25.0,25.0,0.0,1.46,2.12,2.99,3.79,0.0,0.667,16.8,10.8,72.4,0.0,0.2,0.0,56,3600.0,0.00,2,0,0,2,.000,0,0,0,0,2,9.00,0,0,2,0,0,0,0.00,小木田敦也
16,Taiki Ono,オ,右,RP,6.3,30,176,185,158,168,-16.7,20.0,36.7,6.78,7.12,6.08,6.46,0.0,0.846,34.0,2.1,40.8,23.1,-1.6,-0.2,130,500.0,5.68,6,0,1,6 1/3,.000,0,0,0,0,6,8.53,4,4,2,0,11,0,15.63,小野泰己
17,Shunpeita Yamashita,オ,右,SP,17.7,71,68,76,54,62,19.7,29.6,9.9,2.62,2.94,2.06,2.4,0.0,0.732,30.1,7.7,37.8,24.4,3.5,0.6,11,4000.0,1.02,4,1,1,17 2/3,.500,0,0,0,0,21,10.70,2,2,10,0,7,2,3.57,山下舜平大
18,Taisuke Yamaoka,オ,右,SP,0.3,1,90,90,52,52,0.0,0.0,0.0,3.46,3.46,1.99,1.99,-,1.0,100.0,0.0,0.0,0.0,0.1,0.0,19,9000.0,0.00,1,0,0,0 1/3,.000,0,0,0,0,0,0.00,0,0,0,0,1,0,27.00,山岡泰輔
19,Nobuyoshi Yamada,オ,左,RP,7.7,30,53,57,35,42,23.3,23.3,0.0,2.03,2.2,1.36,1.6,0.0,0.636,50.1,7.7,23.1,19.0,2.1,0.2,57,4300.0,4.70,9,0,0,7 2/3,.000,0,0,0,0,7,8.22,5,4,8,0,0,1,0.00,山田修義
20,Soichiro Yamazaki,オ,右,RP,16.0,67,87,79,83,77,17.9,26.9,9.0,3.34,3.04,3.18,2.96,4.8,0.7,31.3,4.1,49.6,15.0,1.2,0.2,21,7000.0,2.25,16,1,0,16,1.000,0,0,0,0,18,10.12,4,4,12,1,6,1,3.38,山﨑颯一郎
21,Kento Kawase,オ,右,RP,11.3,48,115,92,94,75,6.3,14.6,8.3,4.44,3.56,3.6,2.88,10.9,0.743,57.0,5.4,23.3,14.3,0.3,0.1,11,250.0,4.24,10,0,2,34,.000,0,0,0,0,23,6.09,18,16,27,2,10,2,2.65,川瀬堅斗
22,Kento Kawase,オ,右,SP,22.7,94,96,94,120,120,10.6,17.0,6.4,3.69,3.61,4.63,4.61,3.4,0.735,48.1,10.0,41.9,0.0,-2.0,0.1,11,250.0,4.24,10,0,2,34,.000,0,0,0,0,23,6.09,18,16,27,2,10,2,2.65,川瀬堅斗
